"Lineage1","Lineage2","Lineage3"
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,1,1
0.34013580997205,0.339008687907964,1
0,0,1
1,0.991110234324301,0.414882417197936
0.613877005663741,0.615256063478343,1
0.723973828463524,0.715487382336559,1
1,1,0.607150828743905
1,0.996099789512991,0.975338563863397
1,0.987926710025651,0.429041435272113
1,0.991945586936534,0.639646299071846
0.928716589603496,0.918940011545425,1
1,0.997750834304006,0.587308875102971
1,1,1
1,1,1
1,0.995501786259108,0.937637959958018
1,1,0.410117649548688
1,0.950087894995966,0
0.927324996973201,1,0
1,1,0.371719922339367
0.93267127828854,1,0
1,0.943107395384901,0
1,1,0
1,1,0
1,1,0
1,0.890397383285001,0
1,1,0
1,1,0
0.896634697586192,1,0
1,0.971668271257433,0
1,1,0
1,0.936854613040983,0
1,0.939216269283221,0
1,0.883232764838867,0
1,1,0
1,0.85613765164399,0
1,0.807284677526916,0
1,0.465537468802065,0
0.485012682796234,1,0
1,1,0
1,0.694757140589675,0
0.717001251547478,1,0
0.488220123243446,1,0
1,0.510424487066443,0
0.150818866515073,1,0
1,0.652778104471948,0
1,1,0
0,1,0
1,0.413036588031945,0
1,0,0
0.364252749646582,1,0
1,0.140049698818366,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.22753695358627,0
1,0,0
0,1,0
0.524877128628568,1,0
1,0,0
1,0.175035404219598,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.505808529140237,1,0
0.578808871150513,1,0
1,0.692266889888502,0
0.336996661232814,1,0
0.651896811553389,1,0
0,1,0
1,0.599067444556929,0
0,1,0
0,1,0
0,1,0
1,0.164238863446531,0
0.189125117326067,1,0
0.304267487902251,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
